R_01	R_02	R_03	R_04	R_05	R_06	R_07	R_08	R_09	S_01	S_02	S_03	S_04	S_05	S_06	S_07	S_08	S_09
NP_001001514.1	0.134154802156806	-0.1238404311672	-0.29110125092524	0.0569181185063784	-0.61772744030249	NA	NA	NA	NA	0.0570615257197284	-0.670983495175777	-0.484810401710122	-0.864927280511081	NA	NA	NA	NA	NA
NP_001001517.1	-0.0751502153609928	-0.0242900199352124	-0.340095711952424	-0.171090216724539	-0.335679069258323	-0.731072245253315	-0.612253688035635	-0.299027895563324	-0.0353106887840985	-0.301669667970487	-1.0553766326942	-0.602635968713104	-1.0329703661102	-0.153164438413354	-0.203545425476356	-0.147238414360557	-0.65873169285318	-0.342341141502551
NP_001001720.1	0.0676891288024415	0.438081007357304	-0.0934878247328642	-0.0811280339237608	-0.468960186391273	NA	NA	NA	NA	0.629179464085848	-0.465025703310896	-0.0981934717037228	-0.922650346559454	NA	NA	NA	NA	NA
NP_001001969.1	-0.780291966068326	-1.20682461658378	-1.57802431002589	-0.848838260422118	-1.03970432083439	NA	NA	NA	NA	2.65179108782457	-2.16791332852917	-1.76817107770904	-2.65923590914205	NA	NA	NA	NA	NA
NP_001002016.2	-0.24663116087024	-0.119850773246424	-0.469347249025602	-0.251832921379366	-0.463717475285163	-0.889069232646208	-0.512264456990726	-0.517289331468742	-0.145098714028059	-0.0614583600406304	-0.902657876178979	-0.607445996473188	-1.06685048949932	-0.244342123965678	-0.295174589466883	-0.328219127220693	-0.839499965794803	-0.437320686197503
NP_001002805.1	0.0267017853657677	-0.148986540306849	-0.578961372317755	-0.157070514327885	-0.68099646613542	-1.0921878330232	-0.706583945053421	-0.761592517878065	-0.314060891108517	0.537228360016762	-0.481632202583297	-0.429994946125007	-1.13938424576334	-0.487317438249099	-0.366140282568163	-0.625195601904378	-0.90166303588904	-0.587356818893084
NP_001002807.1	-0.62731031631859	-0.269572983792405	-0.560469262689414	-0.393653150142656	-0.707383975552122	-0.976253167485423	-0.460122080380702	-0.781275138588355	-0.305574940965322	0.523904818288034	-1.05119853600123	-0.486919555322616	-1.14070639922583	-0.390708657066141	-0.408197199478452	-0.686156530589622	-0.712591032118416	-0.526751019461514
NP_001002819.2	-0.483885781939894	-0.16739886748471	-0.547324344157288	-0.166817617212067	-0.757158103289278	-0.829917919286957	-0.680180420080057	-0.732988936845496	-0.309180088278868	-0.154661744489048	-1.06764817673977	-0.560466617344483	-1.00936353656758	-0.180926159486962	-0.563355607861701	-0.871465022802434	-0.643560375526378	-0.514968713234999
NP_001002826.1	0.715010514420207	-0.531545950793781	-1.06999917198847	-0.689866540596122	-1.06938033249685	-1.17731189183894	-0.435016127676271	-1.09264327247226	-0.64835740003192	0.691393089631757	0.0878111960817904	-0.743749228507561	-1.41475381753097	-0.603816048382691	-0.130779763564529	-0.316521321051566	-0.78202713374115	-0.628472189321242
NP_001002851.1	-0.568867035422231	-0.153141770055044	-0.395293078101861	-0.430237698094966	-0.547591142954813	-0.772069502375905	-0.598003747555731	-0.624936821269117	-0.117173324843422	0.18795947517149	-1.22075835760469	-0.492925688630893	-1.02751175802118	-0.337109988166715	-0.392581455261887	-0.556904300347033	-0.88630437778403	-0.568410733750507
NP_001003673.1	-0.0547844654165726	-0.190020129149868	-0.469159743142352	-0.137918127402526	-0.361183554589633	-0.826243083960166	-0.615898431381265	-0.461236904699436	-0.114849298998733	-0.668890110271903	-0.930519879714892	-0.62966140732843	-0.829440312521239	0.0821675111517196	-0.350869959866832	-0.170408413728597	-0.704098512815597	-0.452338308438453
NP_001003708.1	-0.0780761259217861	-0.117646441716076	-0.477968136729466	-0.201360439105799	-0.454768827892781	-0.90967548784104	-0.496076288496115	-0.451239538656473	0.085520650679081	-0.298110266477875	-0.999367639316453	-0.66924084682242	-1.02576213311679	-0.158977520983538	-0.384094437270556	-0.394661531919837	-0.865478749970984	-0.343766443789938
NP_001003709.1	-0.439034526777607	-0.0696123592688758	-0.362273922093963	-0.318302946656066	-0.424997253780353	-0.77377004340813	-0.63053090529795	-0.35395092880226	-0.0490712283895659	-0.306206500137028	-0.90904556196369	-0.520364111231966	-0.889343966387368	-0.231705808161443	-0.261506010796085	-0.405697493858445	-0.62557979993617	-0.394097465273493
NP_001003975.1	-0.186157351755835	-0.438976173108681	-0.509621362838783	-0.247569014079164	-0.46911025389919	-0.709260348178636	-0.524113048300569	-0.509250079280584	-0.212914403840757	-0.898360967898379	-0.935637784854231	-0.802218660853374	-0.963569325223365	0.0764678745724353	-0.482739489525402	-0.291488584948497	-0.797981954625507	-0.432547439233989
NP_001003978.1	-0.333047308335735	-0.196489082128454	-0.425705519278005	-0.319050475457902	-0.498841583102139	-0.759885858539791	-0.600290794006137	-0.45455969221665	-0.0688690324871569	-0.376325414920073	-0.855964851122223	-0.567006724664108	-0.91394775425002	-0.169864098695178	-0.262915360627017	-0.288437834103676	-0.718693707119964	-0.390639072813997
NP_001004021.1	-2.44607814113443	-2.27279640948168	-2.44966433460625	-1.09080172675513	-2.47303186845107	NA	NA	NA	NA	3.23195248712294	NA	-1.46491495286012	-2.95188037453636	NA	NA	NA	NA	NA
NP_001004022.1	-1.12515350324432	-1.41651707920796	-1.47999799883698	-0.520670153206149	-1.37757717276646	-1.82927655269064	0.582287318923169	-1.79843706136508	-0.413077558448294	2.9893189479385	-2.68802523449869	-1.10222145319047	-2.05010417525429	-0.51641319990459	-1.60149840361155	-1.53522585765459	-1.53014435151755	-1.1830936041857
NP_001004072.2	-0.156949966186794	-0.21796556134679	-0.534751760064725	-0.179294583486291	-0.439572086491222	-0.657683475330342	-0.500944529213697	-0.389667564958044	-0.0419298751763341	-0.760872520106859	-0.88967887856084	-0.589903693987251	-0.780995411987708	0.253302576331788	-0.197898999284051	-0.167451018703439	-0.650008764660935	-0.430188328732448
NP_001004078.1	-0.293760376969472	-0.111361779744016	-0.399024301855528	-0.280082074822784	-0.341876428262712	-0.73141936843012	-0.543792053343168	-0.357990521683729	-0.0218703757291188	-0.274296698672773	-0.946730444848727	-0.534641738322048	-0.97521871236316	-0.196015086828439	-0.218921880399397	-0.184502177889646	-0.749244803206708	-0.37286314200453
NP_001004080.1	-0.335519835750898	-0.108130239617291	-0.408051688369704	-0.251959561109126	-0.680053512241743	-0.959848361002031	-0.389778704795894	-0.619555873011722	-0.094209374285809	0.318785686988416	-0.779061597829486	-0.493573936552836	-1.15043983790634	-0.221571006521358	-0.333483510185957	-0.56453687333895	-0.822090606574548	-0.491059175076115
NP_001004081.1	-0.385744663734584	-0.0771169621568236	-0.328836034971733	-0.205253777472308	-0.392293018684582	-0.841795584614756	-0.599164264808078	-0.476890986278521	-0.114166151242984	-0.444536293964656	-0.939772228588649	-0.589708005042356	-0.818274779788077	-0.00746737340998169	-0.369570131334578	-0.522368378113771	-0.712231399844659	-0.451043900000773
NP_001004082.3	-0.222162847767194	-0.121305829922988	-0.451062070494943	-0.291971347534442	-0.519233256497564	-0.715920694497495	-0.604287458477907	-0.410353350024828	-0.130257437271999	-0.549461257444602	-0.851403282245709	-0.577890721908387	-0.86835279443686	0.0532460246502654	-0.27996293346491	-0.353832102343819	-0.601166369670996	-0.429769607898391
NP_001004085.1	-0.108759652151628	-0.138029926690637	-0.526983828797973	-0.136298317427871	-0.378274040468132	-0.706526903046851	-0.508405812150046	-0.309629767507023	-0.0352337165763404	-0.788258420081918	-0.856257943283496	-0.658174268780376	-0.824808877236168	-0.194724756105837	-0.278015645546213	0.0568117813567005	-0.961943549876946	-0.30341311968651
NP_001004086.1	-0.23481495485592	-0.289794998115115	-0.47167779159537	-0.344330192895497	-0.512011021807123	-0.366406925818339	-0.176071651974508	1.42141929769585	0.189785504942124	-0.268744022002872	-0.82041249459765	-0.326787091039841	-0.91356782807598	0.20993431076603	0.768679626253132	0.382416148374618	0.123929283794446	1.52149429845847
NP_001004094.1	-0.0938823244189944	-0.0702664187979778	-0.371427107799301	-0.262659318192467	-0.487938707571708	-0.688201372256398	-0.615295864325851	-0.37713381592776	-0.105916711637727	-0.163809211965385	-0.894966878606598	-0.378906866154462	-0.957552269907172	-0.233511631992835	-0.265267789022581	-0.230883678573709	-0.759504257176866	-0.394716107569768
NP_001004095.1	-0.417287280695753	-0.155583797548322	-0.245302020122455	-0.0422228296224616	-0.551088509252984	-0.947415621951552	-0.630510091955717	-0.757087215709853	-0.333982658608407	0.571073143867304	-0.938840526178406	-0.338593292483451	-1.05016238983454	-0.292824312694189	-0.345805231756101	-0.881544916727279	-0.486364198828294	-0.598714047070574
NP_001004132.1	-0.216876305195723	-0.191797041010016	-0.407223497527498	-0.258489448666645	-0.470079284472916	-0.787121703268123	-0.533294011510997	-0.384296748960098	-0.0266359073302791	-0.377697675199976	-0.908847426853778	-0.589885288932649	-0.929093364906236	-0.0600395173358469	-0.240253385521754	-0.307212002996498	-0.707117828737202	-0.443485323799444
NP_001004199.1	-0.283385360711904	-0.148417971741644	-0.352109058172438	-0.205991593648998	-0.441321337965451	-0.834833576298535	-0.63116254077324	-0.655086488569983	-0.24591001467634	-0.175412872384691	-1.18070774959262	-0.680215773149948	-1.18820881219132	-0.25791241254556	-0.406606418330726	-0.314426005277958	-0.531894584347497	-0.605366712419623
NP_001004200.1	-0.412687630544575	-0.115507014300002	-0.423951796641587	-0.232311545853429	-0.463085649333798	-0.701739176597781	-0.543971714004387	-0.279416247586264	0.01926810572727	-0.270645052497311	-0.946986115306676	-0.542206829113	-0.9312123860738	-0.0904543674484158	-0.235800960973149	-0.270835521821916	-0.749232137501782	-0.36642644848149
NP_001004202.1	NA	NA	NA	NA	NA	-1.05023325643933	-0.0641820709585998	-0.725236231034001	-0.637561286782918	NA	NA	NA	NA	0.0367617655132732	-0.241495030667594	-0.950064715918193	-1.06244966897136	-0.764268888420104
NP_001004206.1	-0.111334216265184	-0.0824399156175202	-0.38759307513735	-0.292343090095354	-0.455490903317935	-0.748893059492182	-0.667499039769845	-0.44675234080132	-0.116135299715613	-0.110199152617125	-0.906090469367373	-0.499873242504077	-1.00264588689142	-0.339727410564562	-0.304283757953389	-0.284322880346892	-0.731100301433697	-0.453669363264878
NP_001004207.1	-0.221470816783686	-0.164192818744922	-0.412250751214473	-0.353450711304311	-0.443277092262803	-0.80866311902592	-0.593978305667144	-0.444021901344557	-0.107025601753729	-0.26105222975381	-0.87967265110925	-0.592768569660349	-0.982686572783005	-0.413016318896959	-0.372386326058047	-0.418417739998159	-0.806266260793089	-0.516820321861745
NP_001004208.1	-0.307697626388903	-0.142470492784426	-0.489285400562581	-0.205993094080084	-0.480209011923002	-0.736835002161088	-0.424957518601108	-0.454162321188172	-0.151917623733372	-0.547918201743573	-1.00622108710147	-0.567715324265462	-1.04078502523783	-0.335894302591721	-0.593782302372539	-0.250932632678261	-0.946047017391652	-0.425600232813782
NP_001004209.1	-0.0995382970178738	-0.284313398443285	-0.479334258953711	0.271923281231582	-0.454688258770301	-0.896750840143127	-0.655377241327855	-0.892479779053057	-0.316370921123175	-0.493805606867202	-1.14709524638351	-0.496518221795546	-1.15692576702658	0.319021645749564	-0.515454564623204	-0.813315250242485	-0.390487424243495	-0.595551683282972
NP_001004213.1	-0.318496833093591	-0.259222567411022	-0.692738648628283	-0.261785346984403	-0.481668599954771	-0.906375789966816	-0.678096586537801	-0.629911815020033	-0.0341835018385672	-0.680708898596634	-0.828625345690805	-0.753295309058519	-1.03758450339057	-0.0597209521103312	-0.265575866187172	-0.321198832196623	-0.461935489065224	-0.326231633998306
NP_001004214.1	-0.362727962511972	-0.130141252153478	-0.398018844327994	-0.295751176136576	-0.423369223924855	-0.801475492443602	-0.568747858180462	-0.461626854458403	-0.0584433192617985	-0.330929629058501	-0.892027281445963	-0.532203217769551	-0.915877300062056	-0.250061113685527	-0.327606866756215	-0.235107215074883	-0.773189424110177	-0.495098637528146
NP_001004215.1	0.127981606507286	0.00949189903046395	-0.675555111618162	-0.515597058309407	-0.441689037636653	-0.903821383783643	-0.0220409385883557	-0.657297923290671	-0.172095794120028	0.477570192835187	-0.550723399344034	-0.743955811629555	-1.06726601176416	-0.0985817053941016	-0.158341452807205	-0.560198163339477	-0.489395019403097	-0.537261345991497
NP_001004220.1	-0.00946583296537132	-0.112429427536172	-0.564231288345484	-0.169142201747933	-0.394684069573341	-0.66486771251606	-0.603453460527474	-0.306877129705257	-0.0557864187117287	-0.752034758238602	-0.873188001157077	-0.611390341729838	-0.69459336557155	0.142023917420025	-0.151565987850354	-0.113090881168028	-0.744908785225007	-0.441626235232239
NP_001004221.2	-0.203240966827168	-0.249207136499114	-0.485593099824437	-0.179130171926254	-0.591025953344749	-0.915838290044703	-0.667956248908634	-0.579986503734907	-0.16208661572796	-0.493174664423554	-1.11518850614985	-0.596678874645022	-1.04691686593631	0.0928465644479187	-0.347789588536872	-0.675134753127921	-0.441503417662949	-0.608599890235885
NP_001004223.1	-0.251241889766856	-0.0215341736079691	-0.370466500760229	-0.213280439114857	-0.381844208832937	-0.693277945956706	-0.531970268568785	-0.382102478438779	-0.00857142445564611	-0.198771347327745	-0.962493225220689	-0.505273257042771	-0.858052449076184	-0.0745379750826725	-0.231434165108233	-0.196440149636477	-0.639391440047967	-0.3631982541657
NP_001004224.1	-0.0096757412284947	-0.133578049927809	-0.417427293999526	-0.111044582386202	-0.466257898195512	-0.756718992569238	-0.718312326156325	-0.342428482329858	-0.278492338306707	-0.724622466403745	-0.933104787508799	-0.535733110744933	-0.786362414890989	-0.211336297018062	-0.61246206942334	-0.205881599173466	-0.839742905828514	-0.595169939743563
NP_001004225.1	-0.383505302561446	-0.247737868083395	-0.54742111200837	-0.233167659623645	-0.480887800285974	-0.615714743143821	-0.571069222036564	-0.364278632183877	-0.0652703091015937	-0.750877579718303	-0.909212927167818	-0.718598673100904	-0.828849724934695	0.0717240437218367	-0.121130412592057	-0.0783398518603222	-0.697974460669047	-0.379652061796035
NP_001004227.1	0.098847356222082	0.0899949008588836	-0.207966881751333	0.389469331839299	0.142214732212021	-0.743593224304553	-0.611525501843306	-0.360860641858002	-0.167047476001574	-0.544413569667667	-1.46172329537882	-0.797528582340567	-1.51234134591389	-0.215275177845995	-0.420317373364846	-0.285430818069135	-0.82117182332261	-0.523105586727735
NP_001004229.1	-0.125566072579928	-0.222423426920308	-0.453194393594721	-0.088565588743335	-0.528113577505295	-0.798362666055569	-0.572185461563689	-0.434284939906017	-0.131092113601514	-0.199418625153835	-1.10955865257237	-0.651081827198634	-1.06909347752038	-0.114423237372183	-0.224040548589162	-0.275787533863777	-0.598614357794356	-0.451804786881424
NP_001004234.1	-0.128524080199177	-0.0106564611927607	-0.326079902101708	-0.0693649871142665	-0.3077312578843	-0.796662117168761	-0.61603091292446	-0.442139378111973	0.00458462324629164	-0.243098372086592	-0.88924896732814	-0.398528864152291	-0.960070681548843	-0.223405676471043	-0.392671204912224	-0.183564144225468	-0.777033502485731	-0.424659983574315
NP_001004235.1	-0.228185940871253	-0.191162653768967	-0.536867374770255	-0.235290947069245	-0.36293285263959	-0.722663020414041	-0.53900821694645	-0.457294140756416	-0.0876393008118286	-0.684951902023208	-0.877341361629583	-0.640026587230866	-0.743610709676267	-0.100760873774263	-0.330799990430031	-0.1910439380229	-0.802329994774086	-0.513938208790945
NP_001004238.1	-0.0752369415280132	-0.0387606445422378	-0.339310415564436	0.0812715856708996	-0.23615364584611	-0.777137488301639	-0.242535238345926	0.232109593731634	0.65681397203037	-0.425522677859457	-0.866378553510587	-0.395784853767251	-0.795706073046602	-0.534247541725418	-0.0417204578639586	0.26993782693293	-0.926745218934669	0.0730918071434481
NP_001004239.1	-0.330631053534402	-0.201150939196678	-0.564001940187401	-0.312942943403422	-0.511136359331935	-0.851124463499357	-0.635572786529884	-0.49515388571656	-0.128991200838824	-0.305178767485155	-0.998220555359963	-0.551796622264628	-1.04047704692784	-0.250536395841147	-0.379170058285335	-0.399309981479415	-0.694873861621288	-0.446613148300167
NP_001004241.1	0.2777206757895	-0.391624070437279	-0.683973145714869	-0.0130220986053826	-0.357862894288345	-0.716520612285126	-0.52942902036301	-0.489012056569223	-0.0896189086704183	-1.20141749716212	-0.830515444714992	-0.728799246956596	-0.912678479468766	0.0708848618447183	-0.414265116245441	-0.224372049537153	-0.719095759066213	-0.427508551684104
NP_001004243.1	-0.139583181088057	-0.117883333514268	-0.570709365264201	-0.128448188789403	-0.474006086850618	-0.569854860226096	-0.666889906883833	-0.700030336598628	-0.329808368843867	-0.157761199946853	-1.07503248607748	-0.566820143300261	-0.713126091356838	0.227967697750052	-0.3937007404637	-0.327761731213837	-0.337769001840404	-0.597289223938168
NP_001004245.1	-0.0142724908845051	-0.179973682170803	-0.420601928696404	-0.400639936657457	-0.323062846738214	-1.10094250390724	-0.372667525596843	-1.04047580087628	0.0196144248396861	-0.0529322623571466	-0.511916209905537	-0.235783038138578	-0.891238030208759	-0.0560696198318165	-0.425721837699137	-0.289807666173898	-1.04794791687732	-0.719004058338093
NP_001004247.1	-0.373371263465303	-0.187164948469737	-0.552438686357462	-0.330025304826529	-0.566252847316175	-0.831205561669409	-0.498757286601093	-0.379743185227938	-0.122498239785151	-0.217034251420223	-0.889374916866556	-0.644992739914079	-1.05671532991976	-0.42157096578438	-0.475450076179387	-0.617995154612369	-0.92883344430237	-0.596902603637245
NP_001004250.1	0.0155850881716342	-0.26594698669123	-0.607549221956854	-0.112333136072232	-0.461026959116072	-0.620456391513105	-0.622325800458976	-0.421162007871958	-0.0821593113221008	-1.05820690661349	-0.78810869039932	-0.613325017301981	-0.667202682034487	0.277373398142262	-0.145377042372673	0.00497245714506869	-0.637586410080367	-0.420736138344351
NP_001004251.1	-0.120365009037234	-0.131948405372706	-0.358650668253934	-0.00526203531377469	-0.155301396155127	-0.73722364998418	-0.380119292113633	-0.117614808370233	0.0770471669059227	-0.415325393569665	-1.13162892965311	-0.65351934691005	-0.991451283249658	-0.661789597734466	-0.479490769008831	-0.0156157315341577	-1.20531533292189	-0.360919376227341
NP_001004252.1	-0.24321682580975	-0.143215612523452	-0.462845998549756	-0.28324926517829	-0.473708225414321	-0.814247859656622	-0.605470746049489	-0.42502628789675	-0.0465702958458154	-0.308637073905427	-0.914915896723351	-0.570844487301829	-0.905247136105032	-0.308051034421166	-0.33457986980427	-0.352505529587549	-0.83155390386424	-0.442594106359141
NP_001004254.1	-0.300479552249625	-0.367451243482592	-0.660353737215763	-0.408335498371878	-0.575141398693304	-0.747269514270399	-0.360931797968506	-0.277152227728862	-0.194173734003277	-0.778213368287164	-1.01336096248023	-0.796049898850021	-0.947585705680336	-0.114552297089647	-0.370504275495	-0.134097839982439	-0.668701089534517	-0.518907144107024
NP_001004255.1	-0.422654353379113	-0.162481346562173	-0.469977384271178	-0.354538327579717	-0.580747706602109	-0.720433352768587	-0.509890527818905	-0.404119362767547	0.0561563068919826	-0.202831351989262	-0.947642595977784	-0.529469764318074	-1.0496044075954	-0.696607210681511	-0.183900642594778	-0.264989577992509	-0.959374775007602	-0.299671313609565
NP_001004256.1	-0.293657945675709	-0.157586792535596	-0.451940708355428	-0.215127265809001	-0.46869113055317	-0.637786268411219	-0.460518707041917	-0.325043939780889	-0.144040501013985	-0.59855884989715	-0.947789469741522	-0.623697511164492	-0.949900756885834	-0.354972232877515	-0.488447398479719	-0.112549999155299	-1.0654437591892	-0.464137297845211
NP_001004257.1	-0.0570699060977697	-0.0751413668335131	-0.377008749239248	-0.0714831266583338	-0.384078270827566	-0.800747213505009	-0.600848441267345	-0.430616117629429	-0.169668061607916	-0.505981940348466	-1.3347366356576	-0.805138340457161	-1.3367990189302	-0.203043876019976	-0.458070477924583	-0.323671725637427	-0.733168633177456	-0.428570317957553
NP_001004258.1	-0.0808330543839316	-0.0800716894110811	-0.506794379735787	-0.122990848210723	-0.430985891948497	-0.841116156340862	-0.633786455180628	-0.456054725533196	-0.137831782176773	-0.38892471151683	-0.897905687830312	-0.539725454922766	-1.00639294867511	-0.335215162991337	-0.306878180986827	-0.11803364107967	-0.764431366622205	-0.341587757700832
NP_001004263.1	0.201763873988432	-0.336232785739865	-0.637452274942109	0.253329888793243	-0.2769377643394	-0.867288923138923	-0.590920390324411	-0.740331793794629	-0.25524090183042	-0.543189093791033	-0.978274344119587	-0.717559666361183	-1.21160573545056	0.554355645839559	-0.4570829306006	-0.518986643289685	-0.294135856788104	-0.672917375687786
NP_001004270.1	-0.429731371698723	-0.0546192010751038	-0.521984189106044	-0.182286356978439	-0.505930172247169	-0.663855818579177	-0.366102647617181	-0.376168786868217	0.0196339604630718	-0.324519622548437	-1.10288404168777	-0.517786722988607	-1.02064706526857	0.103895495664038	-0.204948269179943	-0.00785391189789365	-0.404730469961411	-0.248404303668342
NP_001004275.1	-0.0576360864592775	-0.0382409684798403	-0.366558875558031	-0.0868145456456977	-0.266478455953052	-0.809443627059246	-0.506020134673516	-0.354829238139579	0.0780015294102105	-0.169618502733832	-0.89544394340182	-0.459929854202078	-0.984669177660151	-0.343077816938179	-0.23023183451566	-0.0843721640419041	-0.791080171157586	-0.332916731499088
NP_001004276.1	0.0533138955788764	-0.282863255901804	-0.6115316838488	-0.208183457695504	-0.666839153690865	-0.591484713185963	-0.776055039394186	-0.187887762322606	-0.108141446911705	-0.399897893700128	-1.09963240540265	-0.82098787319438	-0.980614595841309	-0.398134784879111	-0.180049639233803	-0.582949850744803	-0.921872421327688	-0.620030733118355
NP_001004279.1	-0.073786137844859	-0.0759888704362821	-0.410241718699212	-0.129172979176603	-0.428409286489529	-0.770297654694809	-0.64864450366778	-0.420352652388754	-0.0305797859762583	-0.262881405179695	-0.845792745317085	-0.494315967755614	-0.887781617547604	-0.128736981201658	-0.197649842628583	-0.35751147644912	-0.849227411216345	-0.420384858053221
NP_001004283.1	-0.174363097739343	-0.169565055971252	-0.418758307048852	-0.29002638301958	-0.392745839335762	-0.750607879458049	-0.620827571693104	-0.392721808705252	-0.0196660057061062	-0.274040430715045	-1.10163980024887	-0.617418139722587	-0.979352913588245	-0.0727327247546535	-0.121321881449117	-0.28698108199835	-0.565919636080684	-0.391184168282484
NP_001004415.1	-0.220760791083577	-0.235548956143147	-0.538098133081455	-0.226171929335515	-0.446311599285867	-0.788883850674023	-0.591481164186309	-0.404815435542689	-0.143326942760317	-0.411623753264488	-0.984615252916871	-0.678681896597248	-1.04913254161699	-0.205576254708487	-0.352450485507483	-0.377837273036107	-0.75710586498235	-0.463487192341567
NP_001004442.1	-0.224742384540052	-0.0889027589908678	-0.428615330120488	-0.132172497915568	-0.49471220906987	-0.813839422962773	-0.602880396233797	-0.463006407962675	0.0206929365185246	0.00640597163052058	-0.89304172708943	-0.39294830158992	-1.00781482831802	-0.29814725988312	-0.3029218483058	-0.222777083181948	-0.693238448021329	-0.440302641420409
NP_001004443.1	-0.300291889366927	-0.18127351546818	-0.547999160454016	-0.173812648786197	-0.601886543359712	-0.936708296090286	-0.486362680409268	-0.541499109462498	-0.0665845481219708	-0.0928536704992127	-0.917290379181501	-0.414620598024697	-0.94536229806798	-0.343636394812583	-0.338352264690828	-0.341936406543443	-0.804256407446537	-0.341914703211915
NP_001004445.1	-0.418198008968342	-0.221075490703862	-0.479088738352683	-0.342557256851985	-0.489265138033263	-0.748457353346689	-0.382040249698921	-0.75845052547133	-0.335542215622743	-0.204729085679121	-0.906849187996995	-0.530767540106551	-0.788958097679233	-0.456000142011643	-0.627438886418806	-0.364305107457801	-0.832942123159271	-0.2255788331245
NP_001005330.1	-0.0668818242875342	-0.344093436893745	-0.624470269787429	0.0836818689681596	-0.437437509252777	-0.991760751452072	-0.58185450030297	-0.780051818480401	-0.228014447013941	-0.408825883286565	-0.886578366772013	-0.595760665097924	-1.0476989466233	0.238234931952362	-0.502851296429739	-0.672919988366253	-0.503999343613835	-0.687309160686342
NP_001005381.2	-0.13287631942539	-0.132217167467941	-0.446411391549735	-0.188073835860694	-0.47425274215597	-0.826490002287236	-0.638613455841343	-0.44340727683413	-0.0324150325678067	-0.263033228071974	-0.875207989573124	-0.604211161971567	-1.02866386984667	-0.153033894133205	-0.281792653820728	-0.340776914662027	-0.678956597725737	-0.432582614219733
