R_01	R_02	R_03	R_04	R_05	R_06	R_07	R_08	R_09	S_01	S_02	S_03	S_04	S_05	S_06	S_07	S_08	S_09
AP_004893.1	0.141976782985159	0.762819539183953	0.165355231844809	0.866255425295639	0.945317246006768	-0.879471225630759	-0.19120967752142	0.396460681158076	-0.2440477738828	-0.646006454439304	-1.92944672798107	-0.432143270180817	-1.28318727508933	-1.02712266195068	-0.93909453098509	0.48833086549866	-1.71486278728509	-0.702968460445067
AP_004894.1	0.809267611277698	-0.0976094558593051	-0.311334988435018	0.32156916520484	0.217125462487169	-1.35153658790695	-0.746299495270464	-0.833810280807032	-0.222749287605447	-0.367878110086042	-0.163868907944136	-0.669682892758659	-1.2039040637908	-0.512495432432276	-0.236417513783331	-0.442832656210607	-1.37304077547244	-0.671180864868617
AP_004895.1	0.207843341464518	-0.286720893778112	-0.608975615802213	-0.116206246371607	-0.384027079444145	-0.678028417404259	-0.610240391424002	-0.389619005489933	-0.154854401721998	-1.1240966821906	-0.69084677046478	-0.665257515921444	-0.714038326403833	0.271721701110267	-0.144828870065024	-0.120073553526174	-0.643570922101331	-0.42877713295039
AP_004896.1	-0.14948492130106	-0.366433907822133	-0.73143682272639	-0.174239050700554	-0.535227972365497	-0.654331101620643	-0.674106386778633	-0.399414896952449	-0.0441484890381316	-1.29450714506987	-1.0372326832763	-0.706078344918579	-0.829974887034512	0.193954048558099	-0.227435771326311	-0.168842222156852	-0.525126384467685	-0.422269757177067
AP_004898.1	0.0362964177788043	0.749722722144776	0.425222725954979	0.491365998245848	1.15803256018618	-1.84397557181958	-0.177422531344897	-1.10831994432716	-0.417536281607611	0.121153615044101	-0.364063244805237	-0.301950491823444	-0.82917438561751	-0.840774892215385	-0.2796091096027	-0.413073234952386	-1.57477608125456	-0.944949792079342
AP_004899.1	0.714096829761768	-0.178154217092277	-0.373275231701821	0.349490168884378	-0.0615625855800815	-1.04824235136601	-0.805289937299625	-0.667542886891044	-0.395992344511595	-2.16790018228168	-0.855093961224991	-0.902614525947589	-1.45192779239982	-0.315808135642277	-0.40568106266225	-0.464475838347281	-0.280508012513391	-0.902304424496505
AP_004900.1	-0.38069661093339	-0.344117656502602	-0.588320331823513	-0.0902205020994188	-0.826369991191309	-0.55240573871985	-0.642273708462101	-0.514057735019737	-0.138639569757198	-0.706011107284036	-1.09781909096209	-0.857084877910398	-1.07696731544949	-0.156690946621824	-0.25657495948113	-0.570760307520205	-0.596016146704568	-0.638072187010214
AP_004901.1	-0.283947128854652	-0.575817711434908	-0.0216834926463573	-0.246896631085655	0.38024356723857	-0.824585775008782	-0.34655895223596	-0.304163780344952	-0.077890639402896	-0.785280512352108	-1.20369615626827	-1.06234553606013	-1.37388876637016	0.0884387405458107	-0.527113447904206	-0.302442146864624	-0.870419487972784	-0.513066561797921
NP_001000613.1	-0.0670518915800347	-0.0801437430687179	-0.398581489840838	0.118550999462337	-0.4171528823802	-0.480351095012312	-0.482415691401081	-0.843050465402164	-0.422097822884655	-0.275806542605443	-0.666997428253224	-0.460754954548078	-1.08133217909178	-0.0969738949379469	-0.229826035172855	-0.505128196554923	-0.948992659585191	-0.78605748922417
NP_001001512.2	-0.215527753606154	-0.128836726040998	-0.490079783798946	-0.223917332879636	-0.430368695005404	-0.86042472401746	-0.664897800989534	-0.608290182799271	-0.174271279951584	-0.249695710122778	-0.91654732854105	-0.495278072858138	-1.01609635114185	-0.125688151165749	-0.274213574512201	-0.271387317065492	-0.591431665013664	-0.402111787879857
