protein,S1_Ion_126.128,S1_Ion_127.125,S1_Ion_127.131,S1_Ion_128.128,S1_Ion_128.134,S1_Ion_129.131,S1_Ion_129.138,S1_Ion_130.135,S1_Ion_130.141,S1_Ion_131.138,S2_Ion_126.128,S2_Ion_127.125,S2_Ion_127.131,S2_Ion_128.128,S2_Ion_128.134,S2_Ion_129.131,S2_Ion_129.138,S2_Ion_130.135,S2_Ion_130.141,S2_Ion_131.138,S2_Ion_131.144
sp|A1L020|MEX3A_HUMAN,-0.153866122,0.03421461,-0.090299653,-0.041582057,-0.031091617,-0.085687785,-0.33137989,-0.006078011,0.374210917,0.331559609,0.053401414,0.067225641,0.111082091,-0.157411807,-0.11815457,-0.215583333,-0.117660605,-0.088180462,0.185068929,0.112086756,0.168125945
sp|A1L0T0|ILVBL_HUMAN,0.174343299,0.151712907,-0.124375502,-0.195823711,0.097022231,0.033716497,-0.313488224,-0.053339247,0.135209198,0.095022552,0.055420061,0.104379195,-0.136436528,-0.090495154,0.014251749,-0.198629659,-0.042949056,0.141109787,0.085955857,0.164827219,-0.097433471
sp|A1L188|NDUF8_HUMAN,0.40524656,0.220283294,-0.110280034,0.134966238,-0.123361726,-0.051644763,-0.539840934,-0.367826781,0.187570507,0.244887638,0.093823135,0.116995866,-0.100861363,0.043903148,0.107602699,-0.219671508,-0.1814539,0.107229245,0.106086199,0.093127054,-0.166780574
sp|A1L390|PKHG3_HUMAN,0.106699028,0.244992524,-0.054129093,-0.071016169,0.016796189,-0.083350986,-0.386267066,-0.118722159,0.160538707,0.184459026,0.090626765,0.041357904,-0.058546778,-0.131672135,-0.046266086,-0.237367758,-0.081020997,0.139148034,0.155562566,0.212963832,-0.084785347
sp|A1X283|SPD2B_HUMAN,0.083812604,0.172814232,-0.104965347,-0.140567156,-0.084466235,0.021659291,-0.3169025,-0.132413466,0.234870483,0.266158095,0.0520807,0.043421175,-0.00693785,0.024254334,0.070442157,-0.145139552,-0.148875525,0.111849719,0.061380227,0.18619859,-0.248673974
sp|A1Z1Q3|MACD2_HUMAN,0.145471267,0.229868319,-0.004840747,-0.096206606,0.011170111,-0.100440907,-0.431280759,-0.223572605,0.161042526,0.3087894,0.043863232,0.070880117,-0.041656027,-0.143262507,-0.022003065,-0.239494984,-0.012537741,0.090437128,0.139809112,0.187345915,-0.073381181
sp|A2AJT9|BCLA3_HUMAN,0.073829287,0.086386599,-0.055998756,-0.171751163,-0.004085405,-0.071154195,-0.302867207,-0.007129832,0.171504095,0.281266576,-0.025852801,0.006662393,-0.146112961,-0.028484178,-0.026589633,-0.203171532,0.136309302,0.146771359,0.06030599,0.202500953,-0.122338892
sp|A2RRP1|NBAS_HUMAN,0.155954181,0.180276468,-0.08333312,-0.128118307,0.000863233,-0.065869614,-0.359049693,-0.111758584,0.204036526,0.20699891,0.074822975,0.055216295,-0.025484445,-0.080719238,0.05292242,-0.183239765,-0.1152091,0.041496281,0.118837489,0.195145299,-0.13378821
sp|A2RTX5|SYTC2_HUMAN,0.059285182,0.079329303,0.069411422,0.069276408,0.117285812,-0.172353808,-0.227833096,-0.205212559,0.082606031,0.128205304,0.172315439,0.142212273,-0.019774,-0.075776993,-0.117976661,-0.214204206,-0.116300157,0.161374513,0.212336901,0.062772334,-0.206979444
sp|A2RU49|HYKK_HUMAN,-0.154770129,0.083571603,-0.256529895,-0.099439881,0.033661871,-0.184514622,-0.036228128,0.128545842,0.117612911,0.368090428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A2RU67|F234B_HUMAN,0.041337199,0.048898238,-0.150293226,-0.313838893,-0.060623791,-0.040201502,-0.282199889,-0.074834769,0.555723861,0.276032772,0.313560804,0.318695248,0.169022897,0.002949931,0.193022109,-0.037398842,-0.746174729,-0.005391272,0.342444756,-0.157068769,-0.393662133
