protein,S1_Ion_126.128,S1_Ion_127.125,S1_Ion_127.131,S1_Ion_128.128,S1_Ion_128.134,S1_Ion_129.131,S1_Ion_129.138,S1_Ion_130.135,S1_Ion_130.141,S1_Ion_131.138,S2_Ion_126.128,S2_Ion_127.125,S2_Ion_127.131,S2_Ion_128.128,S2_Ion_128.134,S2_Ion_129.131,S2_Ion_129.138,S2_Ion_130.135,S2_Ion_130.141,S2_Ion_131.138,S2_Ion_131.144
sp|P51809|VAMP7_HUMAN,0.104106694,0.217459698,-0.227546865,-0.156831619,-0.073248833,0.108416708,-0.316637401,-0.132244038,0.257580756,0.218944899,-0.00740256,-0.009729794,-0.117336244,0.058318254,0.210541159,0.0142782,-0.285053029,0.044295297,0.089423792,0.230561874,-0.22789695
sp|P51812|KS6A3_HUMAN,0.174484521,0.272139001,-0.010164592,-0.108588137,-0.00012607,-0.047086929,-0.399634526,-0.204050184,0.170562089,0.152464828,0.130995782,0.155228076,-0.032556686,-0.145712724,-0.033553148,-0.264776112,-0.146585673,0.093070894,0.135499502,0.224338432,-0.115948342
sp|P51817|PRKX_HUMAN,0.07983845,0.154747251,-0.131095013,-0.021844569,0.056214408,-0.241382899,-0.453842037,-0.032253323,0.225746161,0.36387157,0.138135926,-0.121299593,0.165455675,-0.132210498,-0.02276634,-0.280660979,0.065490926,0.223768066,-0.136435108,0.089812357,0.010709568
sp|P51825|AFF1_HUMAN,0.244886959,0.227732855,0.031001193,0.033549211,0.115237251,-0.159402566,-0.446078922,-0.241980462,0.090865716,0.104188766,0.188443191,0.17650459,0.05932887,-0.32923217,-0.136104998,-0.480914931,-0.146309905,0.184370622,0.235987443,0.338896056,-0.090968769
sp|P51843|NR0B1_HUMAN,0.132123835,0.193591773,-0.053373889,-0.054002398,0.030807005,-0.079847711,-0.331887639,-0.109535657,0.13587158,0.136253101,0.052271013,0.149774931,-0.027020058,-0.070125639,0.006487794,-0.153605814,-0.053455134,0.042591207,0.045571344,0.115427243,-0.107916887
sp|P51858|HDGF_HUMAN,0.166875814,0.21159543,-0.107633834,-0.070729596,-0.086703671,-0.100733842,-0.371535234,-0.160473801,0.237939916,0.281398817,0.149357358,0.04461657,-0.010606491,-0.054076612,0.066132789,-0.143749419,-0.289398036,0.122095078,0.152646302,0.196432515,-0.233450053
sp|P51946|CCNH_HUMAN,0.126146633,0.204441911,-0.073241799,-0.090232972,-0.018096663,-0.106401954,-0.366512835,-0.202452171,0.225071981,0.301277869,0.134611118,0.068798866,-0.017164066,-0.167779827,-0.026361726,-0.195772921,-0.135158204,0.09058421,0.148658347,0.228224785,-0.128640582
sp|P51948|MAT1_HUMAN,0.01336096,0.107919046,0.010550447,-0.045062125,0.042702451,-0.033172015,-0.379082841,-0.116950663,0.188762898,0.210971842,0.11665622,0.018489955,-0.06860961,-0.116312998,0.053564761,-0.282170907,0.024216006,0.064184675,0.140643707,0.129825844,-0.080487653
sp|P51957|NEK4_HUMAN,0.205456455,0.198464251,0.034945819,-0.055287511,-0.004053636,-0.159096579,-0.424519305,-0.06235827,0.179186326,0.08726245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P51970|NDUA8_HUMAN,0.179392202,0.244645484,-0.072088257,-0.102375598,-0.022724371,-0.009738906,-0.363799735,-0.141106308,0.170201419,0.11759407,0.026802576,0.136993932,-0.05000258,-0.041815152,0.055113213,-0.227146262,-0.136446267,0.157856745,0.095036064,0.187637916,-0.204030185
sp|P51991|ROA3_HUMAN,0.163063295,0.210389233,-0.095640527,-0.129133945,0.004851402,-0.020081078,-0.361503375,-0.123751451,0.178064381,0.173742064,0.07959384,0.094766113,-0.099025917,-0.092566426,0.081850718,-0.176349164,-0.080964235,0.061404807,0.114767905,0.172951034,-0.156428676
sp|P52209|6PGD_HUMAN,0.162325759,0.221283439,-0.084936021,-0.135004516,0.00725257,-0.039286481,-0.414862267,-0.160534029,0.238536757,0.205224789,0.183390809,0.2340564,0.008206042,-0.023639581,0.123043289,-0.083095672,-0.539698617,0.069669107,0.123050847,0.207624775,-0.302607398
sp|P52272|HNRPM_HUMAN,0.133947725,0.204553812,-0.077036555,-0.070553488,-0.027815588,-0.061183591,-0.356815694,-0.153363533,0.187919256,0.220347656,0.107365293,0.138623255,-0.056890093,-0.101479116,0.045964215,-0.199149573,-0.135199354,0.06871521,0.097274449,0.170229633,-0.13545392
sp|P52292|IMA1_HUMAN,-0.142358119,-0.037586009,-0.306225869,-0.306161088,-0.243913131,0.213539126,-0.137287658,0.109272346,0.414094731,0.43662567,-0.066413187,-0.135864659,-0.253423238,0.192507146,0.322164531,0.097212149,-0.186754971,0.034733726,0.070408134,0.130443475,-0.205013106
sp|P52294|IMA5_HUMAN,0.12276713,0.166213736,-0.063817598,-0.099873381,-0.038431775,-0.135566587,-0.326651346,-0.092245901,0.236503927,0.231101796,0.103075462,0.053677307,-0.067820541,-0.0549912,0.041657142,-0.175636694,-0.121702711,0.042161207,0.146797854,0.153878381,-0.121096207
sp|P52298|NCBP2_HUMAN,0.107690722,0.224919294,-0.052065762,-0.150411258,-0.024622399,-0.03639177,-0.308088343,-0.127413078,0.192286696,0.174095899,0.124914449,0.138540783,-0.069129441,-0.053459876,0.071536676,-0.147362242,-0.198237398,0.088284202,0.058601806,0.182030863,-0.195719822
sp|P52306|GDS1_HUMAN,0.204661478,0.230525622,-0.048166619,-0.035039523,-0.065506689,-0.158522937,-0.353909771,-0.199148649,0.233362218,0.19174487,0.217277877,0.099839157,0.015706571,-0.13663674,-0.044346224,-0.203557152,-0.295295094,0.134458113,0.119830955,0.245885756,-0.153163219
sp|P52429|DGKE_HUMAN,-0.002352676,0.0605894,-0.152890278,-0.225711458,-0.095360155,0.047941125,-0.221841096,0.004318059,0.30086151,0.284445567,0.006193909,0.005095708,-0.154627581,0.138138168,0.285470421,0.086753795,-0.223438097,-0.009855841,0.019362953,0.122754429,-0.275847863
sp|P52434|RPAB3_HUMAN,0.14402338,0.157844637,0.003049042,-0.073771543,-0.080242458,-0.114806728,-0.367565299,-0.098276207,0.205355093,0.224390082,0.131460293,0.069588425,-0.082650397,0.018649322,0.030824331,-0.20333057,-0.150419422,0.04375663,0.141952157,0.170716461,-0.17054723
sp|P52435|RPB11_HUMAN,-0.014475018,0.164858041,0.0423391,0.017455352,-0.147894115,-0.042200961,-0.264396357,-0.205058145,0.065837056,0.383535048,0.04083722,-0.144901936,-0.111375233,-0.221632265,0.236050653,-0.171107106,0.299748341,-0.036296129,0.098939436,0.09909086,-0.089353841
sp|P52564|MP2K6_HUMAN,0.156387504,0.249337148,-0.060427352,-0.10894476,0.035209406,-0.079842004,-0.326495588,-0.161680977,0.138749693,0.157706931,0.160078465,0.142839838,0.02144078,-0.064906696,0.040958399,-0.225880634,-0.166835314,-0.037468195,0.100186405,0.151071975,-0.121485024
sp|P52565|GDIR1_HUMAN,0.104673767,0.230478156,-0.121638165,-0.096633905,-0.127772999,-0.070148929,-0.390864713,-0.086346996,0.289710663,0.268543121,0.079935246,0.049688833,-0.044839088,-0.077813164,0.087735337,-0.139361166,-0.21387909,0.070843106,0.108320325,0.224520634,-0.145150974
sp|P52569|CTR2_HUMAN,-0.003344908,0.08817815,-0.285473857,-0.285406228,-0.170076963,0.172804741,-0.223776311,-0.033193847,0.337191494,0.403097729,0.084339444,0.110772704,-0.022893938,0.047384081,0.203494222,-0.032926601,-0.198550459,-0.043829445,0.019013733,0.073930101,-0.240733842
sp|P52594|AGFG1_HUMAN,0.04290393,0.117567451,-0.126247761,-0.116080723,-0.03477423,-0.006617634,-0.26504301,-0.088248246,0.227900241,0.248639983,0.078037834,0.075036177,-0.140725378,-0.003574446,0.166044108,-0.091448868,-0.210416232,0.049470286,0.079991199,0.188729776,-0.191144456
sp|P52597|HNRPF_HUMAN,0.149516541,0.163895575,-0.15276051,-0.182833251,-0.037099036,-0.033647522,-0.306873565,-0.077908497,0.225621875,0.25208839,0.083101463,0.114017961,-0.10083157,-0.028873996,0.098521022,-0.145380272,-0.17450045,0.077387943,0.110938932,0.122703364,-0.157084398
sp|P52630|STAT2_HUMAN,0.217053443,0.193412678,-0.008510926,-0.032445132,0.066528886,-0.265644837,-0.414126745,-0.080954815,0.139440554,0.185246895,0.129002134,0.067672978,-0.015994373,-0.240485202,-0.194705588,-0.384325904,-9.11E-06,0.1841212,0.188532889,0.297871408,-0.031680429
sp|P52655|TF2AA_HUMAN,0.046801013,0.095061786,-0.099864006,-0.000124594,-0.107274116,-0.012038936,-0.017689409,-0.193284326,0.115879773,0.172532816,0.314266283,-0.166341035,-0.108609719,-0.106537056,0.238550758,-0.1556145,-0.099347485,-0.126261905,0.092472677,0.095472245,0.021949737
sp|P52657|T2AG_HUMAN,0.076287049,0.133091804,-0.068240346,-0.21289983,-0.024526163,-0.029257468,-0.333224311,-0.101077087,0.359123066,0.200723286,0.16835015,-0.006978758,-0.102054073,0.027231907,0.173768604,-0.153824244,-0.150162621,-0.062111102,0.150508718,0.120670362,-0.165398943
sp|P52701|MSH6_HUMAN,0.098422314,0.13339321,-0.102633875,-0.173527538,-0.058147301,-0.003148261,-0.235852165,-0.076653988,0.211585742,0.206561864,0.065860495,0.033544676,-0.055653807,0.054590852,0.204345609,-0.093023017,-0.178927263,-0.014208226,0.041177396,0.119326236,-0.177032952
sp|P52732|KIF11_HUMAN,-0.076784456,0.018702551,-0.223660514,-0.259675405,-0.173051652,0.11279457,-0.202397899,0.047364711,0.379539457,0.377168637,-0.002780639,-0.085331664,-0.220150836,0.162297545,0.237262798,0.022134737,-0.201416794,0.05640347,0.055438933,0.173269165,-0.197126715
sp|P52735|VAV2_HUMAN,0.156226617,0.254282887,-0.046287096,-0.056295827,0.076773223,-0.092826427,-0.395863136,-0.228360331,0.148119941,0.18423015,0.103220046,0.129053072,-0.033252399,-0.119281045,0.02350945,-0.221650648,-0.096568923,0.066917486,0.091393999,0.184649826,-0.127990864
sp|P52737|ZN136_HUMAN,-0.076649155,0.148210968,-0.125907674,-0.082754297,-0.042243188,0.037158596,-0.333644019,-0.045249238,0.211000006,0.310078002,0.240737912,0.006351134,0.117904787,-0.133094085,-0.021284618,-0.251427782,-0.197506885,0.019060938,0.166402078,0.009977112,0.042879408
sp|P52747|ZN143_HUMAN,0.16056638,0.219788268,-0.014178652,-0.150059716,-0.132478826,-0.021999309,-0.343545814,-0.187522523,0.229479854,0.239950338,0.035375737,0.038898107,0.001874094,-0.065762024,0.062416885,-0.169876269,-0.241480376,0.166545527,0.123918709,0.189197132,-0.141107522
sp|P52756|RBM5_HUMAN,0.085482903,0.105650719,-0.101490794,-0.170568015,-0.105310253,-0.026075819,-0.259567543,-0.024669494,0.215032466,0.281515827,0.020039638,0.04563194,-0.074650116,-0.013585002,0.174331753,-0.10303005,-0.089410858,0.000898401,0.060878434,0.129802528,-0.150906668
sp|P52757|CHIO_HUMAN,0.096318799,0.168606201,-0.003839049,-0.098853731,-0.009245112,-0.156049936,-0.296064653,-0.077777532,0.171362093,0.205542921,0.146890002,-0.010568105,0.003341984,-0.200508852,-0.078074193,-0.273806407,0.012680427,0.161148608,0.150350529,0.213666381,-0.125120375
sp|P52758|RIDA_HUMAN,0.270292298,0.205625632,-0.018796088,-0.143492107,0.017752521,-0.047733948,-0.37242057,-0.233133172,0.165664292,0.156241141,0.04452056,0.07604798,-0.159210675,-0.015520612,-0.004528927,-0.206694308,-0.033838244,0.238264164,0.030954282,0.193963174,-0.163957393
sp|P52788|SPSY_HUMAN,0.172231285,0.270831421,-0.039315466,-0.102719081,0.031679484,-0.100684071,-0.387557909,-0.187350836,0.182014052,0.160871122,0.183858511,0.173576864,-0.033000273,-0.143082996,0.023757947,-0.222757295,-0.156858565,0.036020026,0.091918296,0.182556028,-0.135988543
sp|P52803|EFNA5_HUMAN,0.157317637,0.051411801,-0.015283039,-0.170952726,-0.127226704,-0.197491215,-0.254588473,-0.016491912,0.162442705,0.410861926,0.026265454,0.185939586,-0.113734968,-0.041171683,0.134877399,-0.062908342,-0.232046998,0.133282485,0.031709795,0.083165338,-0.145378065
sp|P52815|RM12_HUMAN,-0.086504258,0.1332215,-0.065486167,-0.054704585,-0.016004662,0.096259299,-0.154285776,-0.198956018,0.032175886,0.314284782,0.117775161,0.093750668,-0.023026204,-0.03511847,0.046932451,-0.125102714,-0.267600768,0.060342478,0.045426542,0.273296852,-0.186675996
sp|P52824|DGKQ_HUMAN,0.074500647,0.101918373,-0.097635051,-0.203785073,0.086216344,-0.115191891,-0.252646851,-0.110087396,0.215151115,0.301559783,-0.093062456,-0.054270862,-0.080926701,-0.08864064,-0.167587695,-0.15740253,0.251922015,0.305059798,-0.195869072,0.171613093,0.109165052
sp|P52888|THOP1_HUMAN,0.123915364,0.199515637,-0.100072714,-0.117717729,0.026561696,-0.012788725,-0.397432886,-0.159797024,0.211522609,0.226293773,0.10826611,0.08153108,-0.027686175,-0.026980145,0.089206881,-0.129645384,-0.190967978,0.049235111,0.068178238,0.190137238,-0.211274977
sp|P52895|AK1C2_HUMAN,0.172349344,0.111305999,-0.02276346,-0.072263721,0.070957495,-0.100975445,-0.378923205,-0.194712538,0.173422443,0.241603089,-0.109455023,-0.046001661,-0.279676854,-0.318927485,0.078843703,-0.358716442,0.322116153,0.283215654,0.14122862,0.254721616,0.03265172
sp|P52907|CAZA1_HUMAN,0.137338028,0.227992644,-0.041357449,-0.078372982,-0.017640125,-0.097213061,-0.37949307,-0.117283519,0.19116205,0.174867485,0.098844404,0.005178607,-0.060428045,-0.202768407,-0.024468991,-0.270322293,-0.070333672,0.151120219,0.181144143,0.264426559,-0.072392524
sp|P52943|CRIP2_HUMAN,0.065123686,0.427746884,-0.12314818,0.167006249,-0.033784539,-0.046927044,-0.557320349,-0.087300117,-0.06275334,0.25135675,0.039620423,0.221514886,-0.102863742,-0.098471537,-0.034203692,-0.239771213,-0.160342002,0.054395297,0.114372581,0.309584962,-0.103835963
sp|P52945|PDX1_HUMAN,0.136922352,0.233944116,-0.076935484,-0.105644975,-0.063706625,-0.046060522,-0.347683608,-0.143664544,0.166848005,0.245981286,0.124586934,0.191798863,-0.026664865,-0.066508665,0.01365647,-0.188256075,-0.169850694,0.026679214,0.070514408,0.170852966,-0.146808556
sp|P52948|NUP98_HUMAN,0.11551284,0.20279589,-0.041104586,-0.122319511,0.027840422,-0.088050442,-0.291854972,-0.138339174,0.156520074,0.178999458,0.093653324,0.048317521,-0.106687374,-0.129032329,-0.03447749,-0.254429036,-0.03620979,0.119699171,0.143526033,0.245713808,-0.090073837
sp|P53004|BIEA_HUMAN,0.068683329,0.195495897,-0.061228977,-0.157561757,-0.034125883,0.011716037,-0.327575575,-0.095556109,0.188032568,0.212120471,0.097483514,0.15309978,-0.09158556,0.020182981,0.071571051,-0.072860116,-0.318945962,0.07164019,0.039709533,0.231582192,-0.201877604
sp|P53007|TXTP_HUMAN,0.214210965,0.205520473,-0.082797516,-0.170729648,0.029198804,-0.027100105,-0.443486028,-0.081498504,0.175953705,0.180727854,0.169953565,0.117707919,-0.063677629,-0.15425301,-0.006852758,-0.155761045,-0.126730472,0.035619874,0.148558879,0.162256225,-0.126821548
sp|P53041|PPP5_HUMAN,0.080874878,0.188758687,-0.129377184,-0.15795829,-0.066919146,0.057623114,-0.33146243,-0.116745188,0.245421498,0.229784062,0.120207854,0.111053442,-0.038744885,0.077289567,0.174519854,-0.034480346,-0.303817849,-0.002371612,-0.014543568,0.190591461,-0.279703918
sp|P53350|PLK1_HUMAN,-0.148237446,0.006431303,-0.234070016,-0.287814801,-0.144845112,0.138171376,-0.071575385,0.040283726,0.314607076,0.387049279,0.064857064,-0.020790516,-0.090929313,0.159471651,0.119789508,-0.062491518,-0.085388046,-0.040119169,0.037202352,0.10416721,-0.185769222
sp|P53355|DAPK1_HUMAN,0.179961964,0.216256556,-0.061545323,-0.090488427,-0.099590752,-0.041802733,-0.381793658,-0.127158307,0.104416453,0.301744228,0.077813608,0.000267719,-0.120117482,-0.120410001,-0.020504106,-0.233373173,0.054868723,0.129504867,0.038701158,0.179163983,0.014084705
sp|P53365|ARFP2_HUMAN,0.059594915,0.174116681,-0.103621532,-0.082586551,-0.106690994,-0.008062067,-0.393060146,-0.035528868,0.232264594,0.263573968,0.071125281,0.117293829,-0.086673731,-0.008025884,0.024275471,-0.13753563,-0.052724404,0.079585266,0.064565267,0.119943819,-0.191829284
sp|P53367|ARFP1_HUMAN,0.106215871,0.197683064,-0.062992286,-0.078475288,-0.031341524,-0.044498164,-0.306535606,-0.133324896,0.166755535,0.186513292,0.121794365,0.029120661,-0.092420566,-0.055027367,0.069455258,-0.140246827,-0.186531181,0.066773611,0.109049554,0.22285254,-0.144820048
sp|P53384|NUBP1_HUMAN,0.170100269,0.184800336,-0.075000112,-0.121940299,0.02482206,-0.082077964,-0.301833375,-0.134999427,0.178251412,0.157877101,0.124404157,0.062251567,-0.037238835,-0.089874392,0.063686409,-0.186975198,-0.003671107,-0.0068027,0.076273059,0.102296636,-0.104349597
sp|P53396|ACLY_HUMAN,0.083437801,0.172696175,-0.134751654,-0.198923059,-0.080559742,0.010710855,-0.304235559,-0.078953638,0.23105314,0.299525682,0.062331829,0.009230835,-0.150284558,0.025983289,0.147601403,-0.113348595,-0.187804399,0.054428585,0.118006612,0.197925352,-0.164070353
sp|P53567|CEBPG_HUMAN,0.016524212,0.162241249,-0.109135516,-0.035117324,-0.072205738,-0.015956371,-0.35890021,-0.102462602,0.26533019,0.24968211,-0.087090346,-0.130506016,-0.387841894,-0.247874342,0.304983736,-0.051215326,0.022845615,0.151911158,0.467314898,0.411119537,-0.453647019
sp|P53582|MAP11_HUMAN,0.138858051,0.146432828,-0.000734172,-0.049336155,0.055321296,-0.052321068,-0.329978092,-0.140461209,0.097660301,0.13455822,0.05843556,0.080949773,-0.072122678,-0.088684761,-0.038594006,-0.25206678,-0.03959315,0.123707439,0.125162825,0.216968374,-0.114162597
sp|P53597|SUCA_HUMAN,0.148697376,0.180647322,-0.002932738,-0.106936252,-0.021891441,-0.041863113,-0.294778119,-0.180492266,0.157696243,0.161852988,0.090316364,0.068995398,-0.106088294,-0.092669613,0.022672162,-0.223649554,-0.019234301,-0.003859785,0.12301577,0.151465124,-0.010963271
sp|P53602|MVD1_HUMAN,0.164873453,0.179520661,-0.000750279,-0.132352231,0.026523486,-0.105374541,-0.386724593,-0.141099347,0.190162848,0.205220542,0.121554951,0.07241591,-0.019906712,-0.124624147,-0.024663581,-0.296368453,-0.013518714,0.058030283,0.12534702,0.193448472,-0.091715029
sp|P53609|PGTB1_HUMAN,0.159283379,0.201464639,0.001082859,-0.116113758,-0.024421839,-0.0540689,-0.417757373,-0.214417411,0.247368094,0.21758031,0.088703861,0.077531065,-0.115961679,-0.17688326,0.013382654,-0.28084087,-0.0245062,0.084070199,0.163541256,0.130720467,0.040242508
sp|P53611|PGTB2_HUMAN,0.194474142,0.235659097,-0.048675079,-0.139085213,-0.126985079,-0.067831428,-0.301789626,-0.190625484,0.185803602,0.259055069,0.055270598,-0.105360549,-0.068443157,-0.051202203,0.181996073,-0.055480352,-0.191213659,0.023982549,0.16912582,0.218248823,-0.176923944
sp|P53618|COPB_HUMAN,0.18389892,0.20853978,-0.030153798,-0.114425781,-0.021195693,-0.094820446,-0.327576611,-0.144564851,0.193282089,0.14701639,0.091704078,0.044539379,-0.114221165,-0.131022036,0.044402818,-0.266021461,0.073307696,0.070537245,0.116382864,0.158300657,-0.087910075
sp|P53621|COPA_HUMAN,0.151907796,0.192901389,-0.054214914,-0.130438119,-0.016960897,-0.047207742,-0.334772918,-0.108588323,0.16581199,0.181561738,0.084464455,0.094395975,-0.063999154,-0.069806656,-0.005728894,-0.198229753,-0.110159369,0.080939794,0.106058424,0.209146658,-0.12708148
sp|P53671|LIMK2_HUMAN,0.087723395,0.234469413,0.023524755,-0.202704392,0.112839116,-0.06567062,-0.336004814,-0.092051551,0.071680517,0.166194181,0.074669838,0.132887178,-0.223362673,-0.088842149,0.033138001,-0.144872929,-0.062786845,-0.046202653,0.100568692,0.229748609,-0.004945067
sp|P53672|CRBA2_HUMAN,-0.109602937,-0.009042729,-0.214470506,-0.232096455,-0.101663626,0.079233895,-0.132612385,-0.047495205,0.334843375,0.432906574,0.09350066,-0.019443667,-0.027660708,0.042834583,0.133478485,-0.021119268,-0.030815459,-0.090797401,-0.086437749,0.155852775,-0.149392251
sp|P53675|CLH2_HUMAN,0.174878548,0.185272,-0.130677622,-0.123335858,-0.002948274,0.015318675,-0.260953807,-0.181987406,0.197811273,0.12662247,0.007686616,-0.063903237,-0.133375161,-0.014851324,0.016831582,-0.167578006,-0.068848076,0.148787165,0.153593584,0.188246702,-0.066589844
sp|P53677|AP3M2_HUMAN,0.089609883,0.090030309,-0.018040839,-0.087630353,0.026269956,-0.029830062,-0.345672517,-0.092144227,0.18292276,0.18448509,0.131865202,0.019768096,-0.052392358,-0.051140224,-0.02945184,-0.204778765,-0.005442986,0.081525219,0.105631708,0.132143815,-0.127727866
sp|P53680|AP2S1_HUMAN,0.18060351,0.200793582,-0.052288657,-0.208264608,-0.037458111,-0.058228195,-0.421181016,-0.051900377,0.2600863,0.187837573,0.074947928,0.121798602,-0.10014462,-0.116970878,0.011172482,-0.199278157,-0.070747715,0.098247767,0.181416932,0.165247744,-0.165690086
sp|P53701|CCHL_HUMAN,0.080436816,0.216890094,-0.191979268,-0.102349679,-0.034602025,-0.031195647,-0.301990501,-0.11657129,0.216014311,0.265347189,0.092620984,0.045783436,-0.104335901,0.044114599,0.018244835,-0.15719068,-0.170168696,0.09164002,0.208563171,0.175737323,-0.245009092
sp|P53778|MK12_HUMAN,-0.011955861,0.170095138,-0.172269214,-0.071932902,-0.095903388,-0.01890087,-0.379472265,-0.000928599,0.280741704,0.300526257,0.067585267,-0.03659407,-0.080007211,-0.041207236,0.135998578,-0.240586397,0.158901683,0.024358388,0.065521616,0.122821302,-0.176791921
sp|P53779|MK10_HUMAN,0.083003561,0.162989127,-0.007168467,0.015401389,-0.037724209,-0.252386156,-0.148834337,-0.073346043,0.084847011,0.173218123,0.014796954,0.033545666,-0.179600269,-0.195420227,0.048699043,-0.286442939,0.16021984,0.052045432,0.200428071,0.22214777,-0.070419341
sp|P53794|SC5A3_HUMAN,0.164316287,0.26001809,-0.165109424,-0.17326747,-0.080627168,-0.044067666,-0.305649145,-0.102597938,0.203277483,0.243706949,0.029378478,-0.10222288,-0.032309505,-0.108328426,0.075756941,-0.22927085,0.063706521,0.074601726,0.157156827,0.140449224,-0.068918056
sp|P53801|PTTG_HUMAN,0.24609973,0.2935092,-0.101046988,-0.137683799,-0.0637366,-0.032478561,-0.498140387,-0.157330295,0.218727284,0.232080417,0.115508525,0.163784126,0.040009078,6.51E-05,0.07686789,-0.129160733,-0.336716925,0.0508346,0.023850395,0.201628785,-0.206670857
sp|P53803|RPAB4_HUMAN,0.169857766,0.152557011,0.072502355,-0.210133694,0.076520471,-0.038398908,-0.289752047,-0.135946237,0.110114066,0.092679217,0.200514101,-0.153406375,-0.061390829,-0.276100265,0.157078433,-0.190151409,-0.201507996,0.006883381,0.194776036,0.117860998,0.205443926
sp|P53805|RCAN1_HUMAN,0.161788441,0.034702998,0.054651742,-0.18591931,0.01203145,-0.197012347,-0.265485192,-0.140142591,0.276156155,0.249228653,0.078419672,-0.14549568,-0.045418117,-0.022164646,0.111083881,-0.107305547,-0.159181808,0.1611301,0.102494929,0.145685026,-0.119247809
sp|P53985|MOT1_HUMAN,0.0847519,0.093219064,-0.108054412,-0.304791982,0.060373317,-0.024073857,-0.23653967,0.080905598,0.013927465,0.340282578,0.117494686,0.128960472,-0.048622311,-0.072547658,0.059695771,-0.126756037,-0.24681729,0.069357607,0.175959932,0.125465963,-0.182191133
sp|P53990|IST1_HUMAN,0.140384871,0.229052127,-0.030342848,-0.091774277,-0.0193756,-0.11189157,-0.374956685,-0.144285383,0.198598321,0.204591045,0.158440262,0.075442041,-0.037217755,-0.082038542,0.027850193,-0.206988287,-0.202210034,0.121012189,0.156844896,0.181988009,-0.193122973
sp|P53992|SC24C_HUMAN,0.204084192,0.288513931,-0.033548519,-0.060393177,0.045579376,-0.11357645,-0.377205987,-0.172034399,0.136176009,0.082405024,0.137044674,0.088360298,-0.044477941,-0.186577739,-0.021583684,-0.226612851,-0.105800616,0.130495132,0.11559374,0.259438467,-0.145879481
sp|P53999|TCP4_HUMAN,0.072296128,0.212664847,-0.069458282,-0.07822384,-0.041291353,-0.048318045,-0.31772523,-0.151854846,0.210985084,0.210925537,0.065885403,0.105983195,-0.059389153,-0.046700209,0.070917258,-0.152276416,-0.186325449,0.07350386,0.096965556,0.20941541,-0.177979455
sp|P54098|DPOG1_HUMAN,0.067614813,0.134586456,-0.111513694,-0.122299991,-0.075612533,0.056255495,-0.292825944,-0.056513222,0.18627064,0.214037981,0.048110785,0.041858364,-0.124782475,-0.00537188,0.018159476,-0.176198432,-0.00933579,0.066027622,0.04284297,0.173617639,-0.074928279
sp|P54105|ICLN_HUMAN,0.054642232,0.135683689,-0.024939504,-0.006205694,0.022223379,-0.095180862,-0.25479297,-0.159330931,0.148495683,0.179404978,0.143829599,-0.036599938,-0.120430297,-0.035502715,-0.034614395,-0.140403277,-0.007624832,0.124105989,0.089339254,0.175891432,-0.15799082
sp|P54136|SYRC_HUMAN,0.179892852,0.192196659,-0.049054966,-0.088345082,0.013555114,-0.065789466,-0.345443106,-0.173051,0.162594835,0.17344416,0.102892829,0.08050234,-0.031867372,-0.135241485,0.023436886,-0.22780779,-0.123380954,0.080111256,0.151685873,0.187298898,-0.10763048
sp|P54198|HIRA_HUMAN,0.155097016,0.18635292,-0.090722989,-0.103157079,0.030392155,-0.049855064,-0.303605204,-0.14060674,0.165180238,0.150924745,0.091013738,0.050906033,-0.082132629,-0.108888836,0.091916169,-0.222276332,-0.059029786,0.074225952,0.104083359,0.170405161,-0.110222827
sp|P54252|ATX3_HUMAN,0.127407567,0.222127358,-0.028728583,-0.073199522,-0.025885826,-0.020344447,-0.328635539,-0.184896461,0.119226012,0.192929441,0.08297105,-0.041278692,-0.139544643,-0.12782254,-0.027918539,-0.228676467,0.069244163,0.101710545,0.110996494,0.28636392,-0.086045291
sp|P54274|TERF1_HUMAN,0.149823813,0.090484735,-0.053303364,-0.118894151,-0.045374647,0.035763263,-0.255927251,-0.02844311,0.105465331,0.12040538,0.052385492,0.025181175,-0.021048443,-0.018894243,0.136267877,-0.12453587,-0.142371477,0.002437368,0.138668411,0.167803183,-0.215893473
sp|P54277|PMS1_HUMAN,0.041087041,0.045642418,-0.164202597,-0.201375599,-0.096028678,0.075846887,-0.265766799,-0.033076897,0.289982793,0.307891431,-0.060131274,-0.112260542,-0.285578368,0.017242316,0.234200092,-0.1404018,0.27954724,-0.068023774,0.059632121,0.064924308,0.010849681
sp|P54278|PMS2_HUMAN,0.043453769,0.078598408,0.026155327,0.02940285,-0.013303223,-0.073151184,-0.369006577,-0.143088847,0.172521452,0.248418024,0.135629112,-0.05015881,-0.056772835,-0.018021532,-0.031299332,-0.129121363,-0.056248354,0.089485975,0.072699043,0.126904185,-0.083096088
sp|P54289|CA2D1_HUMAN,0.129040858,0.221559418,-0.088171705,-0.130509413,-0.034390635,-0.01093917,-0.355188417,-0.097724058,0.178175309,0.188147813,0.029344283,0.03538786,-0.085198892,-0.090925186,0.077363181,-0.206630575,-0.102139631,0.108344696,0.141574198,0.21700644,-0.124126374
sp|P54577|SYYC_HUMAN,0.195162356,0.224018186,-0.019392362,-0.088276484,-0.011727835,-0.076637298,-0.354026925,-0.179276317,0.177842428,0.132314251,0.172629239,0.165964892,-0.002584377,-0.177106842,-0.027732071,-0.284506487,-0.140162199,0.069222282,0.155751147,0.183157788,-0.114633372
