Dataset	PlexID
MoTrPAC_Pilot_TMT_P_S1_06_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S1_07_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S2_07_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S1_09_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S2_09_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S1_05_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S2_05_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S1_01_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S1_02_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S1_03_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S1_04_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S1_08_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S1_10_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S1_11_DIL_28Oct17_Elm_AQ-17-10-03	S1
MoTrPAC_Pilot_TMT_P_S2_01_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S2_02_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S2_03_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S2_04_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S2_06_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S2_08_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S2_10_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S2_11_3Nov17_Elm_AQ-17-10-03	S2
MoTrPAC_Pilot_TMT_P_S2_12_3Nov17_Elm_AQ-17-10-03	S2
